,Case,Structure,NumPts,Size,AvgDiff,StdDiff,XCorrGrad,XCorrDist
21,DLDP_082,Hippocampus_R,261,187,10530.578,3763.4363,0.541643358322358,-0.6923845761161143
22,DLDP_082,Cochlea_L,57,10,79.62696,13.674354,0.005659534898039179,0.2991171269420879
23,DLDP_082,OpticNerve_R,171,65,127.557396,84.01898,0.3710186264072757,-0.27681107752364653
24,DLDP_082,BrainStem,967,2363,898.9642,900.79535,0.9026978294244239,-0.6700102455748418
25,DLDP_082,OpticNerve_L,151,35,1876.1492,938.4964,0.5906001167959213,-0.658044375936007
26,DLDP_083,Eye_R,329,579,6209.1875,2092.2812,0.07268817174872323,-0.6453707499244413
27,DLDP_083,LacrimalGland_R,127,67,1225.9331,1025.1593,-0.20559947931695816,-0.0317447984618099
28,DLDP_083,Cochlea_R,53,8,217.04135,56.792732,0.40087151740584737,-0.4346968016555917
29,DLDP_083,Hippocampus_L,302,262,18074.863,6033.8086,0.7757593268296186,-0.6358932356232704
30,DLDP_083,Pituitary,131,82,11111.321,3479.2654,0.7371051481855647,-0.8759349846765058
31,DLDP_083,LacrimalGland_L,138,74,1474.5885,1005.475,0.3288609993996852,0.6205855453904845
32,DLDP_083,Eye_L,337,593,5557.6714,2008.456,0.2227926245422614,-0.8311971347768305
33,DLDP_083,Chiasm,129,40,1034.032,464.6277,0.10568023193327522,-0.3506163253601261
34,DLDP_083,Hippocampus_R,310,241,15801.445,5982.8535,0.5857979723023987,-0.5391722447426802
35,DLDP_083,Cochlea_L,57,10,49.375618,25.06663,0.6202330292185224,-0.5068219182464404
36,DLDP_083,OpticNerve_R,190,71,414.26266,437.87875,-0.4728440968615116,0.5639718227470655
37,DLDP_083,BrainStem,1016,2393,615.2489,334.6057,0.232090551892032,-0.6314858894984473
38,DLDP_083,OpticNerve_L,160,70,2717.6543,896.2742,-0.45898893478267366,0.40565011037786336
39,DLDP_084,Eye_R,292,459,4943.1396,2808.2378,0.05771181293041298,-0.8056905905383758
40,DLDP_084,LacrimalGland_R,139,70,920.5445,758.4407,0.08458648710970157,-0.48154031641374884
41,DLDP_084,Cochlea_R,44,6,2163.0688,172.03763,0.15085003021718404,-0.09209501068212818
42,DLDP_084,Hippocampus_L,226,122,35270.332,13411.262,-0.4740785359520666,0.7215325345191678
43,DLDP_084,Pituitary,107,56,28950.273,6415.613,-0.3064211546077134,0.35499686029218513
44,DLDP_084,LacrimalGland_L,144,66,2393.5012,1441.7078,0.23390333879798986,0.5584217267590327
45,DLDP_084,Eye_L,300,458,5891.336,2904.844,0.1477419465965139,-0.43703551989640954
46,DLDP_084,Chiasm,116,36,2048.9683,862.48566,0.05108003705505627,-0.09182464918233361
47,DLDP_084,Hippocampus_R,264,193,30254.031,6079.2637,0.03421433530565442,-0.0640828040235945
48,DLDP_084,Cochlea_L,42,5,621.7899,207.11815,-0.06258333931554816,-0.8783946518735434
49,DLDP_084,OpticNerve_R,120,31,399.92905,307.63953,-0.4330378206114697,0.14121487561826296
50,DLDP_084,BrainStem,854,1827,1839.5116,641.9393,-0.04176117269332148,0.09595906198142776
51,DLDP_084,OpticNerve_L,147,47,3828.8562,1552.7217,-0.3719690685873026,0.8143921200824646
52,DLDP_085,Eye_R,335,609,2251.4465,1016.395,0.024467770583471354,-0.8419461206587033
53,DLDP_085,LacrimalGland_R,130,68,489.85193,422.85098,-0.1513495088969733,-0.5345569591798879
54,DLDP_085,Cochlea_R,67,14,279.52194,78.53452,0.13836444170742696,-0.15060972425182942
55,DLDP_085,Hippocampus_L,267,193,13382.946,3934.888,0.7120291989537856,-0.5129768786332335
56,DLDP_085,Pituitary,117,55,10886.786,2437.9587,0.5181279448703046,-0.4071938797812925
57,DLDP_085,LacrimalGland_L,127,52,1445.8844,774.13513,0.4757109551715492,0.5985713442732731
58,DLDP_085,Eye_L,338,634,2833.2783,1480.345,0.4224232842285587,-0.6015005100417917
59,DLDP_085,Chiasm,124,48,1639.1967,293.05817,-0.21747630660375297,0.18381246702269594
60,DLDP_085,Hippocampus_R,291,219,10832.69,2347.7961,0.6768656132238923,-0.5955107216421515
61,DLDP_085,Cochlea_L,55,8,66.162544,15.7438965,0.029381647638718002,-0.0587190916793558
62,DLDP_085,OpticNerve_R,157,47,315.49454,226.38069,0.18660175175112745,-0.05389863774056277
63,DLDP_085,BrainStem,899,2091,744.2501,428.81094,0.6473481262660966,-0.7834116997636815
64,DLDP_085,OpticNerve_L,157,55,2454.4866,764.3672,0.30085394320727504,0.07765061079816611
65,DLDP_086,Eye_R,340,616,8706.245,4123.716,0.017835434534595938,-0.25124725849368706
66,DLDP_086,LacrimalGland_R,151,66,1635.0548,1477.3096,-0.3433605582408483,0.3509948895766269
67,DLDP_086,Cochlea_R,42,5,1964.9215,837.29724,0.0056918731054846,-0.7887602926095142
68,DLDP_086,Hippocampus_L,247,192,54034.023,13497.49,-0.18194155188694597,0.0546937688517719
69,DLDP_086,Pituitary,101,48,33233.03,8425.53,-0.5014924692323823,0.7218013711716154
70,DLDP_086,LacrimalGland_L,144,57,1779.2311,1062.644,0.48679155997855345,0.6276590100872217
71,DLDP_086,Eye_L,335,619,8360.275,3982.0728,-0.14857095335571432,-0.8174823570698774
